"ID"	"Surname"	"Given"	"IntlWW40"	"IntlWW50"	"IntlWW60"
"ICUS0186"	"Ahmat"	"Sharom"	NA	NA	NA
"ICUS0187"	"Binder"	"Leonard"	NA	NA	NA
"ICUS0188"	"Binner"	"Walter"	NA	NA	NA
"ICUS0189"	"Birsel"	"Mahmut Tevfik"	NA	NA	NA
"ICUS0190"	"Bisnovatyi-Kogan"	"Guennadi Semenovich"	NA	NA	NA
"ICUS0191"	"Bissery"	"Jacqueline"	NA	NA	NA
"ICUS0192"	"Bitterman"	"Morton Edward"	NA	NA	NA
"ICUS0193"	"Bitton-Jackson"	"Livia"	NA	NA	NA
"ICUS0194"	"Björk"	"Sven"	NA	NA	NA
"ICUS0195"	"Blackmore"	"John Thomas"	NA	NA	NA
"ICUS0196"	"Blanco"	"Jose C."	NA	NA	NA
"ICUS0197"	"Blank"	"Robert H."	NA	NA	NA
"ICUS0198"	"Blegvad"	"Mogens"	NA	NA	"B1917-06-25"
"ICUS0199"	"Block"	"Stanley M."	NA	NA	NA
"ICUS0200"	"Block"	"Walter"	NA	NA	NA
"ICUS0201"	"Blong"	"Clair K."	NA	NA	NA
"ICUS0202"	"Bloom"	"Alfred"	NA	NA	NA
"ICUS0203"	"Blumenfeld"	"Hans"	NA	NA	NA
"ICUS0204"	"Blystone"	"Jasper John"	NA	NA	NA
"ICUS0205"	"Boardman"	"Harry"	NA	NA	NA
"ICUS0206"	"Bobrow"	"Sue Berryman"	NA	NA	NA
"ICUS0207"	"Bocking"	"Brian Christopher"	NA	NA	NA
"ICUS0208"	"Bogdan"	"Radu I.C."	NA	NA	NA
"ICUS0209"	"Boh"	"Katja"	NA	NA	NA
"ICUS0210"	"Bokadia"	"M.M."	NA	NA	NA
"ICUS0211"	"Bokamba"	"Eyamba Georges"	NA	NA	NA
"ICUS0212"	"Bolin"	"Nona R."	NA	NA	NA
"ICUS0213"	"Bonardel"	"Francoise"	NA	NA	NA
"ICUS0214"	"Boné"	"Edouard"	NA	NA	NA
"ICUS0215"	"Bonifazi"	"Conrad"	NA	NA	NA
"ICUS0216"	"Bonnier"	"Henry"	NA	NA	NA
"ICUS0217"	"Bookstein"	"Fred L."	NA	NA	NA
"ICUS0218"	"Bopape"	"Moses"	NA	NA	NA
"ICUS0219"	"Borowski"	"Karol H."	NA	NA	NA
"ICUS0220"	"Borrero"	"Alfonso"	NA	NA	NA
"ICUS0221"	"Boslooper"	"Thomas David"	NA	NA	NA
"ICUS0222"	"Botchway"	"Francis A."	NA	NA	NA
"ICUS0223"	"Boucher"	"Jerry D."	NA	NA	NA
"ICUS0224"	"Boudon"	"Raymond"	NA	NA	NA
"ICUS0225"	"Boutin"	"Maurice"	NA	NA	NA
"ICUS0226"	"Boyer"	"Alain"	NA	NA	NA
"ICUS0227"	"Brabazon"	"Kevin"	NA	NA	NA
"ICUS0228"	"Brady"	"Joseph Vincent"	NA	NA	NA
"ICUS0229"	"Brainerd"	"Charles J."	NA	NA	NA
"ICUS0230"	"Brante"	"Thomas"	NA	NA	NA
"ICUS0231"	"Brasted"	"Robert Crocker"	NA	NA	NA
"ICUS0232"	"Brattain"	"Walter Houser"	"B1902-02-10"	"B1902-02-10"	NA
"ICUS0233"	"Brennan-Reith"	"Nancy"	NA	NA	NA
"ICUS0234"	"Breytenbach"	"Willie J."	NA	NA	NA
"ICUS0235"	"Briscoe"	"Anne M."	NA	NA	NA
"ICUS0236"	"Briskman"	"Laurence Barry"	NA	NA	NA
"ICUS0237"	"Brisson"	"Marcelle"	NA	NA	NA
"ICUS0238"	"Broady"	"Maurice"	NA	NA	NA
"ICUS0239"	"Brockelman"	"Warren Y."	NA	NA	NA
"ICUS0240"	"Brodeur"	"Jean-Paul"	NA	NA	NA
"ICUS0241"	"Brody"	"Eugene Bloom"	NA	NA	NA
"ICUS0242"	"Brøgger"	"Jan"	NA	NA	NA
"ICUS0243"	"Bronte"	"Lydia"	NA	NA	NA
"ICUS0244"	"Bronwell"	"Arthur B."	NA	NA	NA
"ICUS0245"	"Brooks"	"Peter Newman"	NA	NA	NA
"ICUS0246"	"Brown"	"Edwin W."	NA	NA	NA
"ICUS0247"	"Brown"	"Gladstone L."	NA	NA	NA
"ICUS0248"	"Brown"	"Joseph Epes"	NA	NA	NA
"ICUS0249"	"Bruch"	"Lucille Capra"	NA	NA	NA
"ICUS0250"	"Zum Brunn"	"Emilie"	NA	NA	NA
"ICUS0251"	"Brunner"	"Karl"	NA	NA	NA
"ICUS0252"	"Bryant"	"Marcus Darrol"	NA	NA	NA
"ICUS0253"	"Bucher"	"Rue"	NA	NA	NA
"ICUS0254"	"Buchholtzer"	"Guy Pierre"	NA	NA	NA
"ICUS0255"	"Buckley"	"Walter Frederick"	NA	NA	NA
"ICUS0256"	"Burić"	"Olivera"	NA	NA	NA
"ICUS0257"	"Burr"	"Ronald"	NA	NA	NA
"ICUS0258"	"Butler"	"Clark Wade"	NA	NA	NA
"ICUS0259"	"Butler"	"Gordon Cecil"	NA	NA	NA
"ICUS0260"	"Butr-Indr"	"Siddhi"	NA	NA	NA
"ICUS0261"	"Butros"	"Albert Jamil"	NA	NA	"B1934-03-25"
"ICUS0262"	"Byaruhanga-Akiiki"	"A.B.T."	NA	NA	NA
"ICUS0263"	"Byers"	"Paul"	NA	NA	NA
"ICUS0264"	"Byrne"	"Richard B."	NA	NA	NA
"ICUS0265"	"Zubkova (Bytchikhina)"	"Luba"	NA	NA	NA
"ICUS0266"	"Camara"	"Sory"	NA	NA	NA
"ICUS0267"	"Cannistraro"	"Philip V."	NA	NA	NA
"ICUS0268"	"Cantore"	"Enrico"	NA	NA	NA
"ICUS0269"	"Capone"	"Donald L."	NA	NA	NA
"ICUS0270"	"Caponigri"	"Aloysius Robert"	NA	NA	NA
"ICUS0271"	"Cappelletti"	"Vincenzo"	NA	NA	NA
"ICUS0272"	"Cardwell"	"Donald Stephen Lowell"	NA	NA	"B1919-08-04"
"ICUS0273"	"Carisse"	"Colette"	NA	NA	NA
"ICUS0274"	"Carlson"	"David Allen"	NA	NA	NA
"ICUS0275"	"Carney"	"Frederick Smith"	NA	NA	NA
"ICUS0276"	"Carney"	"Kim"	NA	NA	NA
